sequence,step,increments,prev_j_positions,prev_pos_x,prev_pos_y,prev_pos_z,post_j_positions,post_pos_x,post_pos_y,post_pos_z
0,0,"[0.8400665423860221, -1.443876168849414, -1.2464267973194059]","[0.785398146282013, 0.7853981070221892, 0.7853981623239128]",-0.11989340497217171,-0.07013194181846112,0.21578627784860235,"[1.5707577792066676, -0.6971509836985099, -0.4558644287258682]",-0.15857153288303028,0.06731471581277809,0.13642253914068472
0,1,"[-1.066654853090627, 0.20811648976646133, -1.2760386348269073]","[1.5707577792066676, -0.6971509836985099, -0.4558644287258682]",-0.15857153288303028,0.06731471581277809,0.13642253914068472,"[0.49487335652806763, -0.5213599692176314, -1.553997999891151]",-0.04475372384465259,0.039721358827744156,0.26884619825152095
0,2,"[0.6910411580731893, 0.004450364782206574, -0.22379873336777278]","[0.49487335652806763, -0.5213599692176314, -1.553997999891151]",-0.04475372384465259,0.039721358827744156,0.26884619825152095,"[1.180528962842117, -0.536118668388474, -1.5707963688955324]",-0.12478427999730449,0.040280862622165764,0.20686734241513982
0,3,"[-0.7470626325664358, -0.2751764835125063, -1.3715740296258394]","[1.180528962842117, -0.536118668388474, -1.5707963688955324]",-0.12478427999730449,0.040280862622165764,0.20686734241513982,"[0.4240797528291851, -0.8170732288156497, -1.5707963683560875]",-0.02802373106389716,0.05801909052960336,0.25804023587277886
0,4,"[-0.1342745833635169, 1.5355009004998186, -0.062470325682708785]","[0.4240797528291851, -0.8170732288156497, -1.5707963683560875]",-0.02802373106389716,0.05801909052960336,0.25804023587277886,"[0.27921073949527875, 0.7138482359908545, -1.5707963699504974]",-0.01004377589125384,-0.05204817396611423,0.266179995369626
0,5,"[0.0428829836051273, -0.9763230044331733, 0.1019604012666277]","[0.27921073949527875, 0.7138482359908545, -1.5707963699504974]",-0.01004377589125384,-0.05204817396611423,0.266179995369626,"[0.3135103656441891, -0.26603760084158345, -1.5118526759242705]",-0.02076309211662023,0.021314703457810353,0.2831253834665924
0,6,"[-0.9406810331844773, 1.3425816721108987, 0.09098222633811055]","[0.3135103656441891, -0.26603760084158345, -1.5118526759242705]",-0.02076309211662023,0.021314703457810353,0.2831253834665924,"[-0.650092695182459, 1.1059936025666524, -1.457052794629882]",0.09346815287914234,-0.07321225543169294,0.19867576208291615
0,7,"[-1.4038233348423046, 1.3719997281118665, -0.3698021019358969]","[-0.650092695182459, 1.1059936025666524, -1.457052794629882]",0.09346815287914234,-0.07321225543169294,0.19867576208291615,"[-1.5707962388665457, 1.570107246873448, -1.5578856606338176]",0.07785008256262564,-0.07820551852718337,0.09565247098183488
0,8,"[0.5797199497896096, 0.6780059086286191, -0.849390494362224]","[-1.5707962388665457, 1.570107246873448, -1.5578856606338176]",0.07785008256262564,-0.07820551852718337,0.09565247098183488,"[-1.0216646023875828, 1.5707963705184937, -1.570796173162873]",0.08227488231905003,-0.07809727590375094,0.14080702186771427
0,9,"[0.13785234952120795, 0.3364900004820796, 0.7316796102846073]","[-1.0216646023875828, 1.5707963705184937, -1.570796173162873]",0.08227488231905003,-0.07809727590375094,0.14080702186771427,"[-0.9099655052442923, 1.5707963705065824, -0.861770684261205]",0.0758160267737921,-0.0974371571716797,0.1553260495672572
