Step Index,Current Position,Next Position,Goal Postion,Current Distance,Current Norm Distance,Current Unit Vector,Next Distance,Next Norm Distance,Next Unit Vector,Action
1.1,"(-0.001223641685783477, -0.025005106148435926, 0.3299961985186561)","(-0.16000218431741509, -0.04872322271163192, 0.2323003024896597)","(-0.14231948321346824, -0.08036129216675643, 0.22285302193038756)",0.1856125106675876,0.43749288322037194,"(-0.7601634233608989, -0.29823520957300975, -0.5772411364024412)",0.03745525953914092,0.08828289337076221,"(0.472101951008198, -0.8446896335630136, -0.25222840998871415)","[0.8542005943283881, 0.2021591466052533, 0.48699199058217024]"
1.2,"(-0.16000218431741509, -0.04872322271163192, 0.2323003024896597)","(-0.16008819822773168, -0.08592862595692624, 0.1843037138515952)","(-0.14231948321346824, -0.08036129216675643, 0.22285302193038756)",0.03745525953914092,0.08828289337076221,"(0.472101951008198, -0.8446896335630136, -0.25222840998871415)",0.04281088170247051,0.10090621586797328,"(0.4150513679618529, 0.1300448289960946, 0.9004558314566967)","[1.100173142738627, 0.5637600080863677, 0.33153321192548807]"
1.3,"(-0.16008819822773168, -0.08592862595692624, 0.1843037138515952)","(-0.1580029310759638, -0.0834320908315263, 0.1565603835346391)","(-0.14231948321346824, -0.08036129216675643, 0.22285302193038756)",0.04281088170247051,0.10090621586797328,"(0.4150513679618529, 0.1300448289960946, 0.9004558314566967)",0.06819174617770564,0.16072948714402496,"(0.22999041293978556, 0.04503182330552834, 0.9721504743842726)","[1.1424444443663948, 0.5875930282975468, 0.7720695878635956]"
1.4,"(-0.1580029310759638, -0.0834320908315263, 0.1565603835346391)","(-0.09089691264902638, -0.07398531929307661, 0.2790751288192404)","(-0.14231948321346824, -0.08036129216675643, 0.22285302193038756)",0.06819174617770564,0.16072948714402496,"(0.22999041293978556, 0.04503182330552834, 0.9721504743842726)",0.07645821797924993,0.18021374803522278,"(-0.6725577959245334, -0.08339159664184428, -0.7353311177630509)","[0.3932176330157276, 0.4329923271239613, 0.4641550693994642]"
1.5,"(-0.09089691264902638, -0.07398531929307661, 0.2790751288192404)","(-0.1474215905024398, -0.03502510390703085, 0.2486406637981334)","(-0.14231948321346824, -0.08036129216675643, 0.22285302193038756)",0.07645821797924993,0.18021374803522278,"(-0.6725577959245334, -0.08339159664184428, -0.7353311177630509)",0.05240614408453054,0.12352246619336939,"(0.09735704425690851, -0.8650929972370951, -0.49207287271795197)","[0.6985124525838945, 0.07886108228391345, 0.7270660033054014]"
1.6,"(-0.1474215905024398, -0.03502510390703085, 0.2486406637981334)","(-0.1409842635192493, -0.10343819091276975, 0.1558638398808541)","(-0.14231948321346824, -0.08036129216675643, 0.22285302193038756)",0.05240614408453054,0.12352246619336939,"(0.09735704425690851, -0.8650929972370951, -0.49207287271795197)",0.07086520005638253,0.16703087836669797,"(-0.01884168383291925, 0.32564500950611347, 0.9453043524358193)","[1.1660035871905232, 0.8143754626677683, 0.5276955871685135]"
1.7,"(-0.1409842635192493, -0.10343819091276975, 0.1558638398808541)","(-0.08335572823444115, -0.09189382657148265, 0.08229038954479256)","(-0.14231948321346824, -0.08036129216675643, 0.22285302193038756)",0.07086520005638253,0.16703087836669797,"(-0.01884168383291925, 0.32564500950611347, 0.9453043524358193)",0.15286457200473513,0.3603052515590916,"(-0.38572544446204726, 0.07544282009548288, 0.9195239324729927)","[1.5141609312838227, 1.2414377606844371, 1.3471229133016571]"
1.8,"(-0.08335572823444115, -0.09189382657148265, 0.08229038954479256)","(-0.14664199349313492, -0.07059589370373259, 0.12359825029688154)","(-0.14231948321346824, -0.08036129216675643, 0.22285302193038756)",0.15286457200473513,0.3603052515590916,"(-0.38572544446204726, 0.07544282009548288, 0.9195239324729927)",0.09982763542365852,0.23529599319295783,"(0.043299736203530996, -0.09782259613363033, 0.9942614709071158)","[1.242438998339909, 0.5805853787313762, 1.2945190855130286]"
1.9,"(-0.14664199349313492, -0.07059589370373259, 0.12359825029688154)","(-0.18931677877823697, -0.056984340700960645, 0.11078198088378857)","(-0.14231948321346824, -0.08036129216675643, 0.22285302193038756)",0.09982763542365852,0.23529599319295783,"(0.043299736203530996, -0.09782259613363033, 0.9942614709071158)",0.12375437726199778,0.2916918645449231,"(0.3797626928805253, -0.18889797664534266, 0.9055925416628758)","[1.5346503578599073, 0.2697443339862338, 0.33805395805368826]"
1.1,"(-0.18931677877823697, -0.056984340700960645, 0.11078198088378857)","(-0.083659824850807, -0.10293265626376913, 0.25078724440177524)","(-0.14231948321346824, -0.08036129216675643, 0.22285302193038756)",0.12375437726199778,0.2916918645449231,"(0.3797626928805253, -0.18889797664534266, 0.9055925416628758)",0.06878039532821127,0.16211694649756575,"(-0.8528543356394629, 0.3281656639120062, -0.4061364046846364)","[0.46272871305736535, 0.7527253338836692, 0.3751619804700223]"
