index,current_distance,current_norm_distance,current_unit_vector,action_to_next,pred_norm_distance,pred_unit_vector,next_norm_distance,next_unit_vector
0.0,0.07739080163121391,0.18241186878298093,"(-0.730402, -0.48746, -0.478432)","[0.05503572382234074, 0.5587986029991798, 0.9060462460443452]",0.23341829,"[-0.29728514, -0.21860307, -0.18223539]",0.05759221754507838,"(-0.476889, 0.678955, 0.558209)"
0.1,0.024434308541817468,0.05759221754507838,"(-0.476889, 0.678955, 0.558209)","[0.13894127581061574, 1.147833645752035, 0.8427928602108189]",0.20661184,"[-0.8275071, 0.48453104, -0.075229645]",0.20973063080257956,"(-0.091311, 0.535308, 0.839707)"
0.2,0.08898117075782172,0.20973063080257956,"(-0.091311, 0.535308, 0.839707)","[0.7190541926050077, 0.21603643565356745, 0.5013065913480137]",0.25599435,"[0.34740818, 0.09435284, 0.15346846]",0.23171074521875146,"(0.890705, -0.133234, 0.434619)"
0.3,0.09830654353078053,0.23171074521875146,"(0.890705, -0.133234, 0.434619)","[1.3074281808212, 1.095092916216385, 0.3041787907065775]",0.20735851,"[0.60289854, 0.21369863, 0.7211299]",0.4133289455610551,"(0.306866, 0.332611, 0.891742)"
0.4,0.17536062016014445,0.4133289455610551,"(0.306866, 0.332611, 0.891742)","[0.2753812853761292, 1.0785737498752954, 0.11144102574306827]",0.2737311,"[-0.3500597, 0.89027953, 0.49034715]",0.20533858364803861,"(-0.242384, 0.691433, 0.680566)"
0.5,0.08711778296206153,0.20533858364803861,"(-0.242384, 0.691433, 0.680566)","[1.5682504666524653, 0.44255355386337614, 0.6666382017195104]",0.26771572,"[0.4615286, 0.26151854, 1.0583855]",0.5397605889714658,"(0.495539, 0.040153, 0.867657)"
0.6,0.229001023607381,0.5397605889714658,"(0.495539, 0.040153, 0.867657)","[1.1921509369339836, 1.1113686677026446, 1.4808419520120981]",0.46115938,"[0.5580191, -0.16156247, 0.91191673]",0.44110373858565666,"(0.238278, 0.121152, 0.963611)"
0.7,0.18714446685639358,0.44110373858565666,"(0.238278, 0.121152, 0.963611)","[0.11021224804539319, 1.50786279971357, 0.20387003025809397]",0.3376174,"[-0.7224419, 0.60540724, 0.7547157]",0.31274257967353636,"(-0.310378, 0.47408, 0.823962)"
0.8,0.132685439311759,0.31274257967353636,"(-0.310378, 0.47408, 0.823962)","[1.3126447961361634, 1.0368341951175146, 1.4451365956958688]",0.38318932,"[-0.27286762, 0.40536672, 1.123774]",0.46830664483064155,"(0.248361, 0.113589, 0.961984)"
0.9,0.19868568254068,0.46830664483064155,"(0.248361, 0.113589, 0.961984)","[1.0392511085769325, 1.307322643045562, 1.4857623316146682]",0.4879803,"[0.07378087, 0.053878367, 1.2479041]",0.41598573790739235,"(0.178996, 0.131403, 0.975035)"
