index,current_pos,change_to_next,real_next_pos,pre_next_pos
0.0,"[-0.0010470892725087926, -0.025004089200246514, 0.3299968396732982]","[0.7537132305753601, 1.4632115248490176, 1.0182596292043007]","[-0.07076345199381463, -0.10456002173577798, 0.14083508999282907]","[-0.06791186, -0.10319771, 0.14065075]"
0.1,"[-0.07076345199381463, -0.10456002173577798, 0.14083508999282907]","[0.9071806444907015, -0.1544312577799907, 1.2832288139751697]","[-0.1659275344743369, -0.009420366169501012, 0.1932702609050369]","[-0.14999887, -0.010396153, 0.17901531]"
0.2,"[-0.1659275344743369, -0.009420366169501012, 0.1932702609050369]","[-1.5267957383272053, -0.05722102655825714, 0.2650975614741303]","[0.20334931984365692, -0.016468744070068004, 0.1356044745272658]","[0.2026881, -0.014174491, 0.13258874]"
0.3,"[0.20334931984365692, -0.016468744070068004, 0.1356044745272658]","[-1.1804260761857457, 1.5573626012457582, -0.9962411436340283]","[0.062356691782719645, -0.10366556681598305, 0.10309914078677293]","[0.06612528, -0.09428942, 0.10778396]"
0.4,"[0.062356691782719645, -0.10366556681598305, 0.10309914078677293]","[-1.2412230219750007, 0.4973482339421192, 0.9796491131195277]","[0.14368358421826194, -0.07347701479252365, 0.20110856392529516]","[0.13257323, -0.08090387, 0.20887175]"
0.5,"[0.14368358421826194, -0.07347701479252365, 0.20110856392529516]","[-0.07502610273302024, -0.6012391480161784, 1.2103506306098906]","[-0.02354747228691008, 0.03461132951200514, 0.3010470262922348]","[-0.027155012, 0.03543368, 0.29267567]"
0.6,"[-0.02354747228691008, 0.03461132951200514, 0.3010470262922348]","[0.4012469078141917, 0.3316329335129231, 0.4295739373964335]","[-0.08683796813159222, -0.06407653426237218, 0.289308014237466]","[-0.08052108, -0.06337848, 0.28277805]"
0.7,"[-0.08683796813159222, -0.06407653426237218, 0.289308014237466]","[-0.2535618112381086, -1.0134770868153617, -1.546432773537378]","[0.08573355955219078, 0.05623177165780657, 0.24626356794874016]","[0.08210065, 0.06338462, 0.25056052]"
0.8,"[0.08573355955219078, 0.05623177165780657, 0.24626356794874016]","[0.7736590586759935, -0.43092729476269287, -0.06416838899884342]","[-0.13888075321918594, 0.03214893464005789, 0.2730673238341536]","[-0.13996735, 0.028499633, 0.26515293]"
0.9,"[-0.13888075321918594, 0.03214893464005789, 0.2730673238341536]","[-0.7461583306676917, -1.5525165871742417, 0.7129435401972133]","[0.05344122758048952, 0.11502065083534618, 0.21887682423210864]","[0.053537756, 0.11391166, 0.2200476]"
1.0,"[0.006679898406680887, -0.02634222478284901, 0.32961052167717925]","[1.3404313788613698, -0.864993993586304, -0.3128511210738408]","[-0.16995578777657713, 0.07846045460035421, 0.17678198679318874]","[-0.15991133, 0.06903279, 0.17239285]"
1.1,"[-0.16995578777657713, 0.07846045460035421, 0.17678198679318874]","[-0.8678381577958135, -1.3531530673941778, -0.5629048033630624]","[0.11889207138624913, 0.11087198201520773, 0.1772851300536223]","[0.10623293, 0.10994637, 0.18856908]"
1.2,"[0.11889207138624913, 0.11087198201520773, 0.1772851300536223]","[-0.07542708857182907, -0.05347931782544728, 0.5795711342330656]","[0.0032574259841639756, -0.0213773607584289, 0.32497672676710543]","[-0.00807099, -0.016692787, 0.32420835]"
1.3,"[0.0032574259841639756, -0.0213773607584289, 0.32497672676710543]","[-1.1740080973912326, -1.1501239221048443, 0.5064252006876193]","[0.135727891325319, 0.09917494320613315, 0.19259213856635526]","[0.1295658, 0.10763675, 0.19279526]"
1.4,"[0.135727891325319, 0.09917494320613315, 0.19259213856635526]","[-0.26859365854506567, 1.1692701111670103, 0.9708087607439125]","[-0.009093950697383404, -0.10842693983196348, 0.21926485170460513]","[-0.0002990067, -0.10945542, 0.22238141]"
1.5,"[-0.009093950697383404, -0.10842693983196348, 0.21926485170460513]","[1.1462533186371775, 1.401919735342173, 0.5257990574664111]","[-0.06713543150191502, -0.12003174065252827, 0.1290157900667018]","[-0.06425792, -0.12767354, 0.13152543]"
1.6,"[-0.06713543150191502, -0.12003174065252827, 0.1290157900667018]","[-0.4089498712867759, 1.3910389553063836, 1.4546951485586883]","[-0.01394942929625792, -0.0862222502319158, 0.20199079556070051]","[-0.0036719143, -0.086820304, 0.19616145]"
1.7,"[-0.01394942929625792, -0.0862222502319158, 0.20199079556070051]","[-1.411807366032946, -1.5604209683793877, -0.4770932707143211]","[0.10470371369882922, 0.11997382597481618, 0.11293032720020088]","[0.110974416, 0.12582713, 0.105277985]"
1.8,"[0.10470371369882922, 0.11997382597481618, 0.11293032720020088]","[-0.5825110145594277, -1.5311712032980824, -1.4671617356094417]","[0.09883517669603797, 0.08388370191163551, 0.18152471819223182]","[0.098078296, 0.08910859, 0.17277522]"
1.9,"[0.09883517669603797, 0.08388370191163551, 0.18152471819223182]","[-1.5272435075523936, -1.0218491665859333, 1.3711489695923549]","[0.1389903098325873, 0.06294811273119993, 0.1709330841899692]","[0.14499515, 0.06136313, 0.18043852]"
